0;Allmän utbildning
421a;Biologi
421b;Biokemi, toxikologi, farmakologi, nutrition
421x;Annan utbildning i biologi och biokemi
422;Miljövetenskap
422z;Miljövetenskap
429;Biologi och miljövetenskap, övrig/ospec utbildning
429z;Biologi och miljövetenskap, övrig/ospec utbildning
44;Fysik, kemi och geovetenskap
440;Fysik, kemi och geovetenskap, allmän utbildning
440z;Fysik, kemi och geovetenskap, allmän utbildning
441;Fysik
441z;Fysik
442;Kemi
442z;Kemi
443;Geovetenskap och naturgeografi
443z;Geovetenskap och naturgeografi
449;Fysik, kemi och geovetenskap, övrig/ospecificerad utbildning
449z;Fysik, kemi och geovetenskap, övrig/ospecificerad utbildning
46;Matematik och övrig naturvetenskap
460;Matematik och naturvetenskap, allmän utbildning
460z;Matematik och naturvetenskap, allmän utbildning 
461;Matematik
461z;Matematik 
462;Statistik
462z;Statistik
469;Matematik och naturvetenskap, övrig/ospec utbildning
469z;Matematik/naturvetenskap, övrig/ospec utbildning
48;Data
480;Data, allmän utbildning
480z;Data, allmän utbildning
481;Datavetenskap och systemvetenskap 
481a;Systemvetenskap och programvaruteknik
481b;Datavetenskap och datalogi 
481x;Annan utbildning inom datavetenskap och systemvetenskap
482;Datoranvändning
482z;Datoranvändning
489;Data, övrig/ospec utbildning 
489z;Data, övrig/ospecificerad utbildning 
5;Teknik och tillverkning
52;Teknik och teknisk industri
520;Teknik och teknisk industri, allmän inriktning
520a;Civilingenjörsutbildning – generell teknik och teknisk fysik
520b;Ingenjörsutbildning – generell teknik och teknisk fysik
520x;Annan bred utbildning i teknik och teknisk industri
521;Maskinteknik och verkstadsteknik
521a;Civilingenjörsutbildning –  maskinteknik
521b;Ingenjörsutbildning – maskinteknik
521c;Industri och verkstadsteknik
521x;Annan utbildning i maskinteknik och verkstadsteknik 
522;Energi- och elektroteknik 
522a;Civilingenjörsutbildning  – energi- och elektroteknik
522b;Ingenjörsutbildning  – energi- och elektroteknik
522c;Elektrisk installation och elmekanik
522d;Energi / Drift- och underhåll
522x;Annan utbildning i energi- och elektroteknik
523;Elektronik, datateknik och automation 
523a;Civilingenjörsutbildning – elektronik, datateknik och automation
523b;Ingenjörsutbildning – elektronik, datateknik och automation
523c;Elektronik-, tele- och datatekniskt arbete
523d;Automation / Styr- och reglerteknik
523x;Annan utbildning i elektronik, datateknik och automation 
524;Kemi- och bioteknik
524a;Civilingenjörsutbildning – kemiteknik och bioteknik  
524b;Ingenjörsutbildning – kemiteknik och bioteknik 
524c;Laboratorieteknik
524d;Processindustriteknik
524x;Annan utbildning i kemi- och bioteknik
525;Fordons- och farkostteknik
525a;Civilingenjörsutbildning – fordons- och farkostteknik 
525b;Ingenjörsutbildning – fordons- och farkostteknik
525c;Fordonsteknik
525d;Fartygsteknik och flygplansteknik
525x;Annan utbildning i fordons- och farkostteknik
526;Industriell ekonomi och organisation
526a;Civilingenjörsutbildning – ekonomi och organisation 
526b;Ingenjörsutbildning – ekonomi och organisation
526x;Annan utbildning i industriell ekonomi och organisation
529;Teknik och teknisk industri, övrig/ospec inriktning
529a;Civilingenjörsutbildning – övrig/ospec inriktning
529b;Ingenjörsutbildning – övrig/ospec inriktning
529x;Annan utbildning inom teknik och teknisk industri
54;Material och tillverkning
540;Material och tillverkning, allmän inriktning
540a;Civilingenjörsutbildning – materialteknik, allmän
540b;Ingenjörsutbildning – materialteknik, allmän
540x;Anna bred utbildning i material och tillverkning
541;Tillverkning och hantering av livsmedel
541a;Civilingenjörsutbildning – livsmedel
541b;Ingenjörsutbildning – livsmedel
541c;Tillverkning/hantering av livsmedel, allmän utbildning
541d;Charkuteri
541e;Bageri och konditori
541x;Annan utbildning i tillverkning/hantering av livsmedel
542;Tillverkning av textilier, konfektion och lädervaror
542a;Civilingenjörsutbildning – textilteknologi
542b;Ingenjörsutbildning – textilteknologi
542c;Tillverkning av textilier och konfektion
542d;Sko- och läderarbete
542x;Annan utbildning inom textilier, konfektion och läder
543;Tillverkning av trä-, pappers-, glas/porslin- och plastprodukter 
543a;Civilingenjörsutbildning – trä, papper, glas/porslin, plast
543b;Ingenjörsutbildning – trä, papper, glas/porslin, plast
543c;Trätekniskt arbete
543d;Pappersmasse- och papperstillverkning
543e;Glas- och porslinstillverkning
543f;Tillverkning av plast och gummiprodukter
543x;Annan utbildning i tillverkning i specifikt material
544;Berg- och mineralteknik
544a;Civilingenjörsutbildning – berg- och mineralteknik
544b;Ingenjörsutbildning – berg- och mineralteknik 
544c;Gruv- och järnbruksarbete
544x;Annan utbildning inom berg- och mineralteknik
549;Tillverkning, övrig/ospec inriktning
549z;Tillverkning, övrig/ospececificerad inriktning
58;Samhällsbyggnad och byggnadsteknik
580;Samhällsbyggnad och byggnadsteknik, allmän inriktning
580a;Civilingenjörsutbildning – bred mot byggande, bl.a. lantmäteri 
580b;Ingenjörsutbildning – bred mot byggande, bl.a. lantmäteri
580x;Annan bred utbildning inom samhällsbyggande/byggnadsteknik
581;Samhällsbyggnad och arkitektur
581a;Civilingenjörsutbildning – samhällsbyggnad
581b;Ingenjörsutbildning – samhällsbyggnad
581c;Arkitektutbildning
581d;Landskapsarkitekts- och landskapsingenjörsutbildning
581x;Annan utbildning inom samhällsbyggnad och arkitektur
582;Byggnadsteknik och anläggningsteknik
582a;Civilingenjörsutbildning – byggnadsteknik
582b;Ingenjörsutbildning – byggnadsteknik
582c;Byggnadsarbete, allmän utbildning
582d;Byggnadssnickeri
582e;Måleri
582f;VVS-utbildning
582g;Betong-, anläggnings- och vägarbete
582h;Murarutbildning
582i;Plåtslageri
582x;Annan utbildning inom bygg- och anläggningsteknik
589;Samhällsbyggnad och byggnadsteknik, övrig/ospec inriktning
589z;Samhällsbyggnad och byggnadsteknik, övrig/ospecificerad inriktning
6;Lant- och skogsbruk samt djursjukvård
62;Lantbruk, trädgård, skog och fiske
620;Lantbruk, trädgård, skog och fiske, allmän utbildning
620z;Lantbruk, trädgård, skog och fiske, allmän utbildning
621;Lantbruk
621a;Agronomutbildning
621b;Lantmästarutbildning
621c;Utbildning i lantbruk, allmän
621d;Utbildning i jordbruk/växtodling
621e;Utbildning i djurhållning
621f;Utbildning i hästhållning / hippologutbildning
621g;Utbildning i djurvård
621x;Annan utbildning inom lantbruk
622;Trädgård
622a;Hortonomutbildning
622b;Trädgårdsingenjörs- och trädgårdsteknikerutbildning
622c;Utbildning i trädgårdsbruk
622x;Annan utbildning inom trädgård
623;Skog
623a;Jägmästar- och skogsvetarutbildning
623b;Skogsmästar-, skogstekniker- och skogsingenjörsutbildning
623c;Utbildning i skogsbruk
623x;Annan utbildning inom skog
624;Fiske och vattenbruk
624z;Fiske och vattenbruk
629;Lantbruk, trädgård, skog och fiske, övrig/ospec utbildning
629z;Lantbruk, trädgård, skog och fiske, övrig/ospecificerad utbildning
64;Djursjukvård
640;Djursjukvård
640a;Veterinärutbildning
640x;Annan utbildning inom djursjukvård
7;Hälso- och sjukvård samt social omsorg
72;Hälso- och sjukvård
720;Hälso- och sjukvård, allmän utbildning
720z;Hälso- och sjukvård, allmän utbildning
721;Medicin
721a;Läkarutbildning 
721b;Läkarutbildning – inklusive fullgjord allmän tjänstgöring (AT)
721c;Läkarutbildning – specialistkomp. inom kirurgi, anestesi- o intensivvård
721d;Läkarutbildning – specialistkomp. inom invärtes medicin
721e;Läkarutbildning – specialistkomp. inom barnmedicin
721f;Läkarutbildning – specialistkomp. inom geriatrik 
721g;Läkarutbildning – specialistkomp. inom allmänmedicin
721h;Läkarutbildning – specialistkomp. inom psykiatri
721i;Läkarutbildning – specialistkomp. inom radiologi
721j;Läkarutbildning – kliniska laboratoriespecialiteter
721k;Läkarutbildning – annan specialistkompetens
721x;Annan utbildning inom medicin
723;Omvårdnad
723a;Sjuksköterskeutbildning – grundutbildning 
723b;Sjuksköterskeutbildning – allmän hälso- och sjukvård 
723c;Sjuksköterskeutbildning – anestesi, intensivvård, akut/olycksfall, operation
723d;Sjuksköterskeutbildning – barn och ungdom
723e;Sjuksköterskeutbildning – geriatrisk vård
723f;Sjuksköterskeutbildning – psykiatrisk vård 
723g;Sjuksköterskeutbildning – distriktssköterskeverksamhet
723h;Sjuksköterskeutbildning – barnmorskeverksamhet 
723i;Sjuksköterskeutbildning – diagnostisk radiologi och onkologi
723j;Sjuksköterskeutbildning – annan specialisering
723m;Annan omvårdnadsutbildning – allmän vård och omsorg
723n;Annan omvårdnadsutbildning – inriktning mot sjukvård
723o;Annan omvårdnadsutbildning – inriktning mot psykiatrisk vård
723p;Annan omvårdnadsutbildning – inriktning mot äldreomsorg
723q;Annan omvårdnadsutbildning – inriktning mot psykiskt utvecklingsstörda
723r ;Annan omvårdnadsutbildning – inriktning mot funktionshindrade
723s;Annan omvårdnadsutbildning – övriga inriktningar
723x;Annan utbildning inom omvårdnad
724;Tandvård
724a;Tandläkarutbildning 
724b;Tandläkarutbildning inkl. specialisering
724c;Tandhygienistutbildning
724d;Tandsköterskeutbildning
724e;Tandteknikerutbildning
724x;Annan utbildning inom tandvård
725;Tekniskt inriktad vårdutbildning
725a;Optikerutbildning
725b;Audionomutbildning, hörselvårdsutbildning
725c;Ortopedingenjörsutbildning 
725d;Biomedicinsk analytikerutbildning
725e;Sjukhusfysikerutbildning
725f;Röntgensjuksköterskeutbildning
725x;Annan tekniskt inriktad vårdutbildning
726;Terapi, rehabilitering och kostbehandling
726a;Sjukgymnastutbildning
726b;Arbetsterapeututbildning
726c;Logopedutbildning
726d;Dietistutbildning 
726x;Annan utbildning inom terapi, rehabilitering och kostbehandling
727;Farmaci
727a;Apotekarutbildning
727b;Receptarieutbildning
727x;Annan utbildning inom farmaci
729;Hälso- och sjukvård, övrig/ospec utbildning
729z;Hälso- och sjukvård, övrig eller ospecificerad utbildning
76;Socialt arbete och omsorg
760;Socialt arbete och omsorg, allmän utbildning
760z;Socialt arbete och omsorg, allmän utbildning
761;Barn och ungdom
761a;Barn och ungdom, allmän utbildning
761b;Barnomsorg 
761c;Fritidsverksamhet för barn och ungdom
761x;Annan utbildning inom barn och ungdom
762;Socialt arbete och vägledning
762a;Social service och omsorg, allmän utbildning
762b;Social omsorgsutbildning,  äldre/handikappade
762c;Social omsorgsutbildning, socialpedagogisk behandling
762d;Socionomutbildning 
762e;Socionomutbildning, äldre/handikappade
762f;Socionomutbildning, socialpedagogisk behandling
762g;Studie- och yrkesvägledarutbildning
762x;Annan utbildning inom socialt arbete och vägledning
769;Socialt arbete och omsorg, övrig/ospec utbildning
769z;Socialt arbete och omsorg övrig/ospecificerad utbildning
8;Tjänster
81;Personliga tjänster
810;Personliga tjänster, allmän utbildning
810z;Personliga tjänster, allmän utbildning
811;Hotell, restaurang och storhushåll
811a;Hotell, restaurang och storhushåll, allmän utbildning
811b;Utbildning för hotell 
811c;Utbildning för restaurang 
811d;Utbildning för storhushåll
811x;Annan utbildning inom hotell, restaurang och storhushåll
812;Turism, resor och fritid 
812z;Turism, resor och fritid
813;Idrott och friskvård
813z;Idrott och friskvård 
814;Hushållstjänster och lokalvård
814a;Hem- och hushållsvetenskap, allmän utbildning
814b;Utbildning för lokalvård
814x;Annan utbildning inom hushållstjänster och lokalvård
815;Hår- och skönhetsvård
815a;Utbildning för hårvård
815x;Annan utbildning inom hår- och skönhetsvård
819;Personliga tjänster, övrig/ospec utbildning
819z;Personliga tjänster, övrig/ospec utbildning
84;Transporttjänster
840;Transporttjänster
840a;Transporttjänster, allmän utbildning
840b;Utbildning för landtransporter
840c;Utbildning för sjöfart
840d;Utbildning för luftfart
840e;Utbildning för postservice
840x;Annan utbildning inom transporttjänster
85;Miljövård och miljöskydd
850;Miljövård och miljöskydd, allmän utbildning
850z;Miljövård och miljöskydd, allmän utbildning
851;Miljövårdsteknik och miljökontroll
851z;Miljövårdsteknik och miljökontroll
852;Naturvård och djurskydd
852z;Naturvård och djurskydd
853;Renhållning och avfallshantering
853z;Renhållning och avfallshantering
859;Miljövård och miljöskydd, övrig/ospec utbildning
859z;Miljövård och miljöskydd, övrig/ospec utbildning
86;Säkerhetstjänster
860;Säkerhetstjänster, allmän utbildning
860z;Säkerhetstjänster, allmän utbildning
861;Säkerhet i samhället
861a;Polisutbildning
861b;Utbildning för brandskydd och annan räddningstjänst
861c;Civilförsvarsutbildning
861x;Annan utbildning inom säkerhet i samhället
862;Arbetsmiljö och arbetarskydd
862z;Arbetsmiljö och arbetarskydd
863;Militär utbildning
863a;Yrkesofficersutbildning
863b;Reservofficersutbildning
863c;Taktisk utbildning för militärer
863d;Fackutbildning för militärer
863e;Stabsutbildning för militärer
863f;Högre chefsutbildning för militärer 
863x;Annan militär utbildning
869;Säkerhetstjänster, övrig/ospec utbildning
869z;Säkerhetstjänster, övrig/ospecificerad utbildning
9;Okänd
99;Okänd
999;Okänd
999z;Okänd
